canonical_column,attribute,construct,media,scale,film_r,book_r,variant_selected,r_cv5,eff_film_r,r_used,ci_lo,ci_hi,old_tier,new_tier,old_validated,new_validated,r_basis
plot_complexity,Plot complexity,structure,book,model-scored 1-N / 0-1,,0.265,False,,,0.265,0.144,0.378,Marginal,C,True,True,"in-sample (single-prompt, no selection)"
pov_first_person,Pov first person,narration,book,model-scored 1-N / 0-1,,0.47,False,,,0.47,0.366,0.563,Validated,A,True,True,"in-sample (single-prompt, no selection)"
pov_third_person,Pov third person,narration,book,model-scored 1-N / 0-1,,0.481,False,,,0.481,0.378,0.572,Validated,A,True,True,"in-sample (single-prompt, no selection)"
proactive,Proactive (main),character,"film,book,tv",model-scored 1-N / 0-1,0.276,0.305,False,,0.276,0.484,0.352,0.597,Validated,A,True,True,"in-sample (single-prompt, no selection)"
protag_invested,Protag invested (main),character,"film,book,tv",model-scored 1-N / 0-1,0.363,0.236,False,,0.363,0.363,0.248,0.468,Validated,B,True,True,"in-sample (single-prompt, no selection)"
protag_real,Protag real (avg),character,"film,book,tv",model-scored 1-N / 0-1,0.305,0.162,False,,0.305,0.305,0.186,0.415,Marginal,C,True,True,"in-sample (single-prompt, no selection)"
protag_relatable,Protag relatable (main),character,"film,book,tv",model-scored 1-N / 0-1,0.438,0.242,False,,0.438,0.438,0.33,0.535,Validated,B,True,True,"in-sample (single-prompt, no selection)"
side_char_importance,Side char importance,structure,"film,tv",model-scored 1-N / 0-1,0.312,,False,,0.312,0.312,0.194,0.422,Marginal,C,True,True,"in-sample (single-prompt, no selection)"
vivid_setting,Vivid setting (any),structure,book,model-scored 1-N / 0-1,,0.245,False,,,0.245,0.123,0.36,Marginal,C,True,True,"in-sample (single-prompt, no selection)"
inevitability,Inevitability,structure,"film,tv",model-scored 1-N / 0-1,0.259,,False,,0.259,0.259,0.137,0.373,Marginal,C,True,True,"in-sample (single-prompt, no selection)"
external_upheaval,External upheaval,character,"film,tv",model-scored 1-N / 0-1,0.267,,False,,0.267,0.267,0.146,0.38,Marginal,C,True,True,"in-sample (single-prompt, no selection)"
narrator_omniscient,Narrator omniscient,narration,book,model-scored 1-N / 0-1,,0.355,False,,,0.355,0.24,0.46,Validated,B,True,True,"in-sample (single-prompt, no selection)"
element_message_or_theme,Element importance: message or theme,reception,"film,book,tv",model-scored 1-N / 0-1,0.329,0.3,False,,0.329,0.329,0.212,0.437,Marginal,C,True,True,"in-sample (single-prompt, no selection)"
