canonical_column,attribute,construct,status,media,scale,definition,film_r,book_r,tier,cross_medium,source_column,validated,heldout_tier,heldout_r,heldout_ci_lo,heldout_ci_hi
plot_linearity,Plot linearity,structure,main,"film,book,tv",1-4,How non-linear the plot order is (2-run average),0.24,0.33,B,True,plot_linearity,True,B,0.33,0.181,0.464
ending_reversal,Ending reversal (peripeteia),structure,main,"film,book,tv",1-3,Major reversal of fortune at the ending (peripeteia framing),0.29,0.25,B,True,ending_reversal,True,C,0.25,0.095,0.393
pathos,Pathos,structure,main,"film,tv",1-3,A major emotional release or expression of emotion by the main character(s) at the ending (pathos),0.339,,A,False,pathos,True,B,0.339,0.222,0.446
conflict_self,Conflict: vs self,conflict,main,"film,book,tv",0-100,Centrality of “protagonist versus the protagonist’s own self” as the story’s conflict,0.284,0.31,B,True,conflict_self,True,C,0.31,0.159,0.447
conflict_other,Conflict: vs other,conflict,main,"film,book,tv",0-100,Centrality of “protagonist versus other character(s)” as the story’s conflict,0.206,0.2,C,True,conflict_other,False,drop,0.206,0.082,0.324
conflict_society,Conflict: vs society,conflict,main,"film,book,tv",0-100,Centrality of “protagonist versus society” as the story’s conflict,0.241,0.185,B,True,conflict_society,True,C,0.241,0.118,0.356
conflict_nature,Conflict: vs nature,conflict,main,"film,book,tv",0-100,Centrality of “protagonist versus nature” as the story’s conflict,0.608,0.606,A,True,conflict_nature,True,A,0.608,0.522,0.682
conflict_technology,Conflict: vs technology,conflict,main,"film,book,tv",0-100,Centrality of “protagonist versus technology” as the story’s conflict,0.147,0.253,B,True,conflict_technology,True,C,0.253,0.098,0.396
conflict_fate,Conflict: vs fate,conflict,main,"film,book,tv",0-100,Centrality of “protagonist versus fate or luck” as the story’s conflict,0.215,-0.024,C,True,conflict_fate,False,drop,0.215,0.091,0.332
shape_cinderella,Shape: Cinderella (rise-fall-rise),story-shape,main,"film,book,tv",0-100,Goodness-of-fit to the Vonnegut “Cinderella (rise-fall-rise)” arc,0.34,0.28,B,True,shape_cinderella,True,B,0.34,0.223,0.447
shape_rags_to_riches,Shape: Rags to Riches (steady rise),story-shape,main,"film,book,tv",0-100,Goodness-of-fit to the Vonnegut “Rags to Riches (steady rise)” arc,0.25,0.29,B,True,shape_rags_to_riches,True,C,0.29,0.138,0.429
shape_riches_to_rags,Shape: Riches to Rags (steady fall),story-shape,main,"film,book,tv",0-100,Goodness-of-fit to the Vonnegut “Riches to Rags (steady fall)” arc,0.26,0.25,B,True,shape_riches_to_rags,True,C,0.26,0.138,0.374
shape_man_in_a_hole,Shape: Man in a Hole (fall-rise),story-shape,main,"film,tv",0-100,Goodness-of-fit to the Vonnegut “Man in a Hole (fall-rise)” arc,0.25,,B,False,shape_man_in_a_hole,True,C,0.25,0.128,0.365
shape_icarus,Shape: Icarus (rise-fall),story-shape,main,"film,tv",0-100,Goodness-of-fit to the Vonnegut “Icarus (rise-fall)” arc,0.23,,B,False,shape_icarus,True,C,0.23,0.107,0.346
anagnorisis,Anagnorisis,structure,main,"film,book,tv",model-scored 1-N / 0-1,"Does the story turn on an anagnorisis, a moment of recognition in which a character suddenly grasps a crucial truth? 1 (no), 2 (somewhat), 3 (yes).",0.255,0.239,Marginal,True,anagnorisis,True,C,0.255,0.133,0.369
competent,Competent (avg),character,main,"film,book,tv",model-scored 1-N / 0-1,How competent is the protagonists on average?,0.38,0.502,Headline,True,competent,True,A,0.502,0.373,0.612
development,Development (avg),character,main,"film,book,tv",model-scored 1-N / 0-1,Does the protagonists on average undergo strong personal (internal) development?,0.419,0.448,Validated,True,development,True,B,0.448,0.311,0.566
element_emotional_impact,Element importance: emotional impact,reception,appendix_reception,"film,tv",model-scored 1-N / 0-1,Was the emotional impact one of the elements that most drove the experience of this work?,0.229,,Marginal,False,element_emotional_impact,True,C,0.229,0.106,0.345
felt_about,Felt about,reception,appendix_reception,"film,tv",model-scored 1-N / 0-1,"Overall, how much would an audience enjoy this?",0.314,,Marginal,False,felt_about,True,C,0.314,0.196,0.423
immersive_setting,Immersive setting (avg),structure,main,"film,book,tv",model-scored 1-N / 0-1,"How immersive (fully realized, richly detailed) is its settings on average?",0.301,0.299,Marginal,True,immersive_setting,True,C,0.301,0.182,0.411
likable,Likable (main),character,main,"film,book,tv",model-scored 1-N / 0-1,How likable is the main protagonist?,0.614,0.518,Headline,True,likable,True,A,0.614,0.529,0.687
n_narrators,N narrators,narration,main,book,model-scored 1-N / 0-1,How many distinct narrators tell the story?,,0.319,Marginal,False,n_narrators,True,C,0.319,0.201,0.428
n_side_characters,N side characters,structure,main,"film,tv",model-scored 1-N / 0-1,Approximately how many named side characters appear?,0.272,,Marginal,False,n_side_characters,True,C,0.272,0.151,0.385
narration_switches,Narration switches,narration,main,book,model-scored 1-N / 0-1,"If more than one narrator, how often does narration switch?",,0.329,Marginal,False,narration_switches,True,C,0.329,0.212,0.437
narrator_unreliable,Narrator unreliable (avg),narration,main,book,model-scored 1-N / 0-1,How reliable or unreliable is its narrators on average?,,0.284,Marginal,False,narrator_unreliable,True,C,0.284,0.164,0.396
plot_complexity,Plot complexity,structure,main,book,model-scored 1-N / 0-1,How structurally complex is the plot?,,0.265,Marginal,False,plot_complexity,True,C,0.265,0.144,0.378
pov_first_person,Pov first person,narration,main,book,model-scored 1-N / 0-1,Is it narrated primarily in first person (I/we)?,,0.47,Validated,False,pov_first_person,True,A,0.47,0.366,0.563
pov_third_person,Pov third person,narration,main,book,model-scored 1-N / 0-1,Is it narrated primarily in third person?,,0.481,Validated,False,pov_third_person,True,A,0.481,0.378,0.572
proactive,Proactive (main),character,main,"film,book,tv",model-scored 1-N / 0-1,How proactive rather than passive is the main protagonist?,0.276,0.484,Validated,True,proactive,True,A,0.484,0.352,0.597
protag_invested,Protag invested (main),character,main,"film,book,tv",model-scored 1-N / 0-1,How emotionally invested would a viewer be in the main protagonist?,0.363,0.289,Validated,True,protag_invested,True,B,0.363,0.248,0.468
protag_real,Protag real (avg),character,main,"film,book,tv",model-scored 1-N / 0-1,How real and believable does the protagonists on average feel?,0.305,0.253,Marginal,True,protag_real,True,C,0.305,0.186,0.415
protag_relatable,Protag relatable (main),character,main,"film,book,tv",model-scored 1-N / 0-1,How relatable is the main protagonist?,0.438,0.326,Validated,True,protag_relatable,True,B,0.438,0.33,0.535
side_char_importance,Side char importance,structure,main,"film,tv",model-scored 1-N / 0-1,How important are the side characters?,0.312,,Marginal,False,side_char_importance,True,C,0.312,0.194,0.422
vivid_setting,Vivid setting (any),structure,main,book,model-scored 1-N / 0-1,"How vivid (sensory, vividly evoked) is its single most extreme setting on this?",,0.245,Marginal,False,vivid_setting,True,C,0.245,0.123,0.36
inevitability,Inevitability,structure,main,"film,tv",model-scored 1-N / 0-1,Did the ending feel destined and inevitable rather than arbitrary? 1 (entirely arbitrary) to 7 (utterly inevitable).,0.259,,Marginal,False,inevitability,True,C,0.259,0.137,0.373
external_upheaval,External upheaval,character,main,"film,tv",model-scored 1-N / 0-1,How much does the protagonist's external world and situation change from beginning to end? 1 (barely) to 5 (transformed).,0.267,,Marginal,False,external_upheaval,True,C,0.267,0.146,0.38
narrator_omniscient,Narrator omniscient,narration,main,book,model-scored 1-N / 0-1,"Does the narrator have god-like access to every character's mind (omniscient) or is it confined to one (close)? 1 (close), 2 (mixed), 3 (omniscient).",,0.355,Validated,False,narrator_omniscient,True,B,0.355,0.24,0.46
element_message_or_theme,Element importance: message or theme,reception,appendix_reception,"film,book,tv",model-scored 1-N / 0-1,"How central is a message or theme, as opposed to plot, character, or spectacle? 1 (not thematic) to 5 (deeply theme-driven).",0.329,0.3,Marginal,True,element_message_or_theme,True,C,0.329,0.212,0.437
tone_Caring,Caring,tone,main,book,0--100,"Intensity of the ""Caring"" narrator tone",,0.238,--,False,tone_Caring,True,C,0.238,-0.024,0.469
tone_Depressed,Depressed,tone,main,book,0--100,"Intensity of the ""Depressed"" narrator tone",,0.292,--,False,tone_Depressed,True,C,0.292,0.034,0.514
tone_Philosophical,Philosophical,tone,main,book,0--100,"Intensity of the ""Philosophical"" narrator tone",,0.355,--,False,tone_Philosophical,True,C,0.355,0.104,0.563
tone_Juvenile,Juvenile,tone,main,book,0--100,"Intensity of the ""Juvenile"" narrator tone",,0.319,--,False,tone_Juvenile,True,C,0.319,0.064,0.535
tone_Devil_may_care,Devil may care,tone,main,book,0--100,"Intensity of the ""Devil may care"" narrator tone",,0.458,--,False,tone_Devil_may_care,True,B,0.458,0.224,0.642
tone_Irreverent,Irreverent,tone,main,book,0--100,"Intensity of the ""Irreverent"" narrator tone",,0.332,--,False,tone_Irreverent,True,C,0.332,0.078,0.545
tone_Anxious,Anxious,tone,main,book,0--100,"Intensity of the ""Anxious"" narrator tone",,0.255,--,False,tone_Anxious,True,C,0.255,-0.006,0.483
tone_Confident,Confident,tone,main,book,0--100,"Intensity of the ""Confident"" narrator tone",,0.227,--,False,tone_Confident,True,C,0.227,-0.036,0.46
tone_Overwrought,Overwrought,tone,main,book,0--100,"Intensity of the ""Overwrought"" narrator tone",,0.048,--,False,tone_Overwrought,False,drop,0.048,-0.215,0.305
tone_All_knowing,All knowing,tone,main,book,0--100,"Intensity of the ""All knowing"" narrator tone",,0.084,--,False,tone_All_knowing,False,drop,0.084,-0.181,0.337
tone_Warm,Warm,tone,main,book,0--100,"Intensity of the ""Warm"" narrator tone",,0.411,--,False,tone_Warm,True,C,0.411,0.168,0.607
tone_Jaded,Jaded,tone,main,book,0--100,"Intensity of the ""Jaded"" narrator tone",,0.288,--,False,tone_Jaded,True,C,0.288,0.03,0.51
tone_Sarcastic,Sarcastic,tone,main,book,0--100,"Intensity of the ""Sarcastic"" narrator tone",,0.606,--,False,tone_Sarcastic,True,A,0.606,0.41,0.748
tone_Hypocritical,Hypocritical,tone,main,book,0--100,"Intensity of the ""Hypocritical"" narrator tone",,0.214,--,False,tone_Hypocritical,False,drop,0.214,-0.049,0.45
tone_Judgmental,Judgmental,tone,main,book,0--100,"Intensity of the ""Judgmental"" narrator tone",,0.063,--,False,tone_Judgmental,False,drop,0.063,-0.201,0.318
tone_Dry,Dry,tone,main,book,0--100,"Intensity of the ""Dry"" narrator tone",,0.014,--,False,tone_Dry,False,drop,0.014,-0.247,0.274
tone_Laid_back,Laid back,tone,main,book,0--100,"Intensity of the ""Laid back"" narrator tone",,0.306,--,False,tone_Laid_back,True,C,0.306,0.049,0.525
tone_Optimistic,Optimistic,tone,main,book,0--100,"Intensity of the ""Optimistic"" narrator tone",,0.421,--,False,tone_Optimistic,True,C,0.421,0.18,0.614
tone_Pessimistic,Pessimistic,tone,main,book,0--100,"Intensity of the ""Pessimistic"" narrator tone",,0.192,--,False,tone_Pessimistic,False,drop,0.192,-0.072,0.431
tone_Resigned,Resigned,tone,main,book,0--100,"Intensity of the ""Resigned"" narrator tone",,0.146,--,False,tone_Resigned,False,drop,0.146,-0.119,0.392
tone_Defiant,Defiant,tone,main,book,0--100,"Intensity of the ""Defiant"" narrator tone",,0.26,--,False,tone_Defiant,True,C,0.26,-0.001,0.488
tone_Mischievous,Mischievous,tone,main,book,0--100,"Intensity of the ""Mischievous"" narrator tone",,0.577,--,False,tone_Mischievous,True,A,0.577,0.372,0.728
tone_Curious,Curious,tone,main,book,0--100,"Intensity of the ""Curious"" narrator tone",,0.207,--,False,tone_Curious,False,drop,0.207,-0.057,0.444
tone_Skeptical,Skeptical,tone,main,book,0--100,"Intensity of the ""Skeptical"" narrator tone",,0.262,--,False,tone_Skeptical,True,C,0.262,0.002,0.489
writing_Accessible,Accessible,texture,main,book,0--100,"Intensity of the ""Accessible"" writing style",,0.357,--,False,writing_Accessible,True,C,0.357,0.106,0.565
writing_Minimalist,Minimalist,texture,main,book,0--100,"Intensity of the ""Minimalist"" writing style",,0.128,--,False,writing_Minimalist,False,drop,0.128,-0.137,0.376
writing_Humorous,Humorous,texture,main,book,0--100,"Intensity of the ""Humorous"" writing style",,0.827,--,False,writing_Humorous,True,A,0.827,0.722,0.895
writing_Dark,Dark,texture,main,book,0--100,"Intensity of the ""Dark"" writing style",,0.526,--,False,writing_Dark,True,A,0.526,0.308,0.692
writing_Ironic,Ironic,texture,main,book,0--100,"Intensity of the ""Ironic"" writing style",,0.157,--,False,writing_Ironic,False,drop,0.157,-0.108,0.401
writing_Verbose,Verbose,texture,main,book,0--100,"Intensity of the ""Verbose"" writing style",,0.201,--,False,writing_Verbose,False,drop,0.201,-0.063,0.439
writing_Sophisticated,Sophisticated,texture,main,book,0--100,"Intensity of the ""Sophisticated"" writing style",,0.344,--,False,writing_Sophisticated,True,C,0.344,0.092,0.555
writing_Lyrical,Lyrical,texture,main,book,0--100,"Intensity of the ""Lyrical"" writing style",,0.386,--,False,writing_Lyrical,True,C,0.386,0.139,0.587
writing_Serious,Serious,texture,main,book,0--100,"Intensity of the ""Serious"" writing style",,0.355,--,False,writing_Serious,True,C,0.355,0.104,0.563
writing_Straightforward,Straightforward,texture,main,book,0--100,"Intensity of the ""Straightforward"" writing style",,0.247,--,False,writing_Straightforward,True,C,0.247,-0.015,0.477
writing_Meandering,Meandering,texture,main,book,0--100,"Intensity of the ""Meandering"" writing style",,0.253,--,False,writing_Meandering,True,C,0.253,-0.008,0.482
writing_Whimsical,Whimsical,texture,main,book,0--100,"Intensity of the ""Whimsical"" writing style",,0.588,--,False,writing_Whimsical,True,A,0.588,0.387,0.736
writing_Avant_garde,Avant garde,texture,main,book,0--100,"Intensity of the ""Avant garde"" writing style",,0.39,--,False,writing_Avant_garde,True,C,0.39,0.144,0.591
writing_Sparse,Sparse,texture,main,book,0--100,"Intensity of the ""Sparse"" writing style",,0.141,--,False,writing_Sparse,False,drop,0.141,-0.124,0.387
book_clear_prose,Writing clarity,structure,main,book,1--7,How clear (easy to follow) the writing style is,,0.346,--,False,book_clear_prose,True,C,0.346,0.217,0.463
book_evocative_prose,Writing evocativeness,structure,main,book,1--7,How evocative the writing style is,,0.217,--,False,book_evocative_prose,False,drop,0.217,0.08,0.346
book_narr_share,Narration share,structure,main,book,0--1,Share of the book told from the primary narrator's point of view,,0.367,--,False,book_narr_share,True,B,0.367,0.237,0.484
tone_Crass,Crass,tone,main,book,0--100,"Intensity of the ""Crass"" narrator tone (scored; no reader selected it in the validation set, so not validatable)",,,--,False,tone_Crass,False,drop,,,
tone_Conniving,Conniving,tone,main,book,0--100,"Intensity of the ""Conniving"" narrator tone (scored; no reader selected it in the validation set, so not validatable)",,,--,False,tone_Conniving,False,drop,,,
