canonical_column,construct,media,survey_question,response_scale,survey_source,llm_prompt,prompt_source
mood_Dark,mood,"film,book,tv","5. How would you describe the mood - or, less formally, the “vibes” - of the movie? Select all that apply from the alphabetized list below.",select-all checkbox; this attribute = the 'Dark' option (0/1),raw survey Movie Q8 (mood/vibes select-all),"On a scale 0-100, how strongly does the mood 'Dark' apply to this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
mood_Funny,mood,"film,book,tv","5. How would you describe the mood - or, less formally, the “vibes” - of the movie? Select all that apply from the alphabetized list below.",select-all checkbox; this attribute = the 'Funny' option (0/1),raw survey Movie Q8 (mood/vibes select-all),"On a scale 0-100, how strongly does the mood 'Funny' apply to this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
mood_Heartwarming,mood,"film,book,tv","5. How would you describe the mood - or, less formally, the “vibes” - of the movie? Select all that apply from the alphabetized list below.",select-all checkbox; this attribute = the 'Heartwarming' option (0/1),raw survey Movie Q8 (mood/vibes select-all),"On a scale 0-100, how strongly does the mood 'Heartwarming' apply to this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
mood_Dreamy,mood,"film,book,tv","5. How would you describe the mood - or, less formally, the “vibes” - of the movie? Select all that apply from the alphabetized list below.",select-all checkbox; this attribute = the 'Dreamy' option (0/1),raw survey Movie Q8 (mood/vibes select-all),"On a scale 0-100, how strongly does the mood 'Dreamy' apply to this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
mood_Gritty,mood,"film,book,tv","5. How would you describe the mood - or, less formally, the “vibes” - of the movie? Select all that apply from the alphabetized list below.",select-all checkbox; this attribute = the 'Gritty' option (0/1),raw survey Movie Q8 (mood/vibes select-all),"On a scale 0-100, how strongly does the mood 'Gritty' apply to this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
mood_Epic,mood,"film,book,tv","5. How would you describe the mood - or, less formally, the “vibes” - of the movie? Select all that apply from the alphabetized list below.",select-all checkbox; this attribute = the 'Epic' option (0/1),raw survey Movie Q8 (mood/vibes select-all),"On a scale 0-100, how strongly does the mood 'Epic' apply to this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
mood_Energetic,mood,"film,book,tv","5. How would you describe the mood - or, less formally, the “vibes” - of the movie? Select all that apply from the alphabetized list below.",select-all checkbox; this attribute = the 'Energetic' option (0/1),raw survey Movie Q8 (mood/vibes select-all),"On a scale 0-100, how strongly does the mood 'Energetic' apply to this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
mood_Eerie,mood,"film,book,tv","5. How would you describe the mood - or, less formally, the “vibes” - of the movie? Select all that apply from the alphabetized list below.",select-all checkbox; this attribute = the 'Eerie' option (0/1),raw survey Movie Q8 (mood/vibes select-all),"On a scale 0-100, how strongly does the mood 'Eerie' apply to this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
score_Jazz,texture,"film,tv",11. Which words best describe the musical style of the movie's score? Select all that apply.,select-all checkbox; this attribute = the 'Jazz' option (0/1),raw survey Movie Q820 (score style select-all),"On a scale 0-100, how strongly does 'Jazz' describe the musical score of this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
13_how_relatable_did_you_find_this_protagonist,structure,"film,tv",13.How relatable did you find this protagonist?,rating scale,raw survey header (exact-column slug match),"Rate this {m} on ONE survey question from its Wikipedia plot and reception. Question: How relatable did you find this protagonist? [1=low to 7=high]. Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
score_Dissonant,texture,"film,tv",11. Which words best describe the musical style of the movie's score? Select all that apply.,select-all checkbox; this attribute = the 'Dissonant' option (0/1),raw survey Movie Q820 (score style select-all),"On a scale 0-100, how strongly does 'Dissonant' describe the musical score of this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
acting_Manic,texture,"film,tv",14. Which words best describe the acting? Select all that apply,select-all checkbox; this attribute = the 'Manic' option (0/1),raw survey Movie Q829 (acting descriptors select-all),"On a scale 0-100, how strongly does 'Manic' describe the acting of this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
5_in_your_opinion_how_would_you_rate_the_quality_of_the_character_writ,structure,"film,tv","5. In your opinion, how would you rate the quality of the character writing in this movie, on a scale of 1-7?",rating scale,raw survey header (exact-column slug match),"Based only on this {m}'s plot, answer: In your opinion, how would you rate the quality of the character writing in this movie, Give a number 1-7 (1=lowest, 7=highest). Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
4_how_interesting_did_you_find_the_visual_style_by_interesting_we_mean,structure,"film,tv","4. How interesting did you find the visual style? By interesting we mean noteworthy, attention-grabbing, and creative.",rating scale,raw survey header (exact-column slug match),"Based only on this {m}'s plot, answer: How interesting did you find the visual style? By interesting we mean noteworthy, atten Give a number 1-7 (1=lowest, 7=highest). Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
3_how_evocative_did_you_find_the_visual_style_by_evocative_we_mean_aff,structure,"film,tv",3. How evocative did you find the visual style? By evocative we mean affecting and memorable.,rating scale,raw survey header (exact-column slug match),"Based only on this {m}'s plot, answer: How evocative did you find the visual style? By evocative we mean affecting and memorab Give a number 1-7 (1=lowest, 7=highest). Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
12c_on_a_scale_of_1_very_confusing_to_7_very_easy_to_understand,structure,"film,tv",12c. On a scale of 1 (very confusing) to 7 (very easy-to-understand)?,rating scale,raw survey header (exact-column slug match),"Consider this {m}. On a scale of 1 (very confusing) to 7 (very easy-to-understand)? Respond 1 (not at all) to 7 (extremely). Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
8_how_many_major_settings_does_the_movie_contain_here_we_re_asking_you,structure,"film,tv","8. How many major settings does the movie contain? Here, we're asking you to count at a high-level and focus on major settings only. For example, in the first Harry Potter book, the major settings would be (1) the Dursley home and (2) the Hogwarts School of Witchcraft and Wizardry - which you wouldn’t need to break down further into the Gryffindor common room, Snape’s dungeon, or Hagrid’s cabin.",count,raw survey header (exact-column slug match),"Based only on this {m}'s plot, answer: How many major settings does the movie contain? Here, we're asking you to count at a hi Give a number 1-6 (1=lowest, 6=highest). Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
8c_how_proactive_was_this_protagonist_by_proactive_we_mean_motivated_a,structure,"film,book,tv","8c. How proactive was this protagonist? By proactive, we mean motivated and taking steps to reach their goals.",rating scale,raw survey header (exact-column slug match),"Consider this {m}. How proactive was this protagonist? By proactive, we mean motivated and taking steps t Respond 1 (not at all) to 5 (extremely). Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
score_Emotional,texture,"film,tv",11. Which words best describe the musical style of the movie's score? Select all that apply.,select-all checkbox; this attribute = the 'Emotional' option (0/1),raw survey Movie Q820 (score style select-all),"On a scale 0-100, how strongly does 'Emotional' describe the musical score of this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
visual_Natural,texture,"film,tv",1. Which words best describe the visual style? Select all that apply.,select-all checkbox; this attribute = the 'Natural' option (0/1),raw survey Movie Q2 sec.5 (visual style select-all),"On a scale 0-100, how strongly does 'Natural' describe the visual style of this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
visual_Busy,texture,"film,tv",1. Which words best describe the visual style? Select all that apply.,select-all checkbox; this attribute = the 'Busy' option (0/1),raw survey Movie Q2 sec.5 (visual style select-all),"On a scale 0-100, how strongly does 'Busy' describe the visual style of this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
6_how_did_you_feel_about_the_movie,structure,"film,tv",6. How did you feel about the movie?,rating scale,raw survey header (exact-column slug match),"Consider this {m}. How did you feel about the movie? Respond 1 (not at all) to 7 (extremely). Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
plot_compelling,structure,book,18. How compelling did you find the plot? By compelling we mean interesting and absorbing.,1-7 rating,raw survey Movie Q643,"Based only on this book's plot, answer: How compelling (interesting/engaging) is the plot? Give a number 1-7 (1=lowest, 7=highest). Return ONLY JSON {""v"": number}.","deployed prompt set (deployed book, harvested verbatim)"
acting_Physical,texture,"film,tv",14. Which words best describe the acting? Select all that apply,select-all checkbox; this attribute = the 'Physical' option (0/1),raw survey Movie Q829 (acting descriptors select-all),"On a scale 0-100, how strongly does 'Physical' describe the acting of this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
8b_how_competent_was_this_protagonist_by_competent_we_mean_effective_a,structure,"film,book,tv","8b. How competent was this protagonist? By competent, we mean effective at the activities and tasks that matter to them.",rating scale,raw survey header (exact-column slug match),"Consider this {m}. How competent was this protagonist? By competent, we mean effective at the activities Respond 1 (not at all) to 5 (extremely). Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
acting_Intense,texture,"film,tv",14. Which words best describe the acting? Select all that apply,select-all checkbox; this attribute = the 'Intense' option (0/1),raw survey Movie Q829 (acting descriptors select-all),"On a scale 0-100, how strongly does 'Intense' describe the acting of this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
3_approximately_how_many_named_side_characters_are_in_this_movie_feel,structure,"film,tv",3. Approximately how many named side characters are in this movie? (Feel free to guesstimate),free text/num,raw survey header (exact-column slug match),"Consider this {m}. Approximately how many named side characters are in this movie? (Feel free to guesstima Respond 2 (not at all) to 50 (extremely). Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
visual_Fast_cut,texture,"film,tv",1. Which words best describe the visual style? Select all that apply.,select-all checkbox; this attribute = the 'Fast_cut' option (0/1),raw survey Movie Q2 sec.5 (visual style select-all),"On a scale 0-100, how strongly does 'Fast-cut' describe the visual style of this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
10_how_important_was_the_dialogue_to_your_experience_of_the_movie_as_a,structure,"film,tv",10. How important was the dialogue to your experience of the movie as a whole?,rating scale,raw survey header (exact-column slug match),"Consider this {m}. How important was the dialogue to your experience of the movie as a whole? Respond 1 (not at all) to 5 (extremely). Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
13_how_much_did_you_like_the_score,structure,"film,tv",13. How much did you like the score?,rating scale,raw survey header (exact-column slug match),"Consider this {m}. How much did you like the score? Respond 2 (not at all) to 7 (extremely). Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
acting_Natural,texture,"film,tv",14. Which words best describe the acting? Select all that apply,select-all checkbox; this attribute = the 'Natural' option (0/1),raw survey Movie Q829 (acting descriptors select-all),"On a scale 0-100, how strongly does 'Natural' describe the acting of this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
acting_Improvisational,texture,"film,tv",14. Which words best describe the acting? Select all that apply,select-all checkbox; this attribute = the 'Improvisational' option (0/1),raw survey Movie Q829 (acting descriptors select-all),"On a scale 0-100, how strongly does 'Improvisational' describe the acting of this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
9_how_realistic_did_you_find_the_dialogue_in_the_movie,structure,"film,tv",9. How realistic did you find the dialogue in the movie?,rating scale,raw survey header (exact-column slug match),"Based only on this {m}'s plot, answer: How realistic did you find the dialogue in the movie? Give a number 1-7 (1=lowest, 7=highest). Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
score_Intimate,texture,"film,tv",11. Which words best describe the musical style of the movie's score? Select all that apply.,select-all checkbox; this attribute = the 'Intimate' option (0/1),raw survey Movie Q820 (score style select-all),"On a scale 0-100, how strongly does 'Intimate' describe the musical score of this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
familiar_world,structure,book,"4. How familiar was the world of the movie? By familiar we mean a setting that you know well, either from your own lived experiences or from other movies, books, or media.",1-7 rating,raw survey Movie Q482,"Based only on this book's plot, answer: How familiar (vs strange/alien) is the world of the book? Give a number 1-7 (1=lowest, 7=highest). Return ONLY JSON {""v"": number}.","deployed prompt set (deployed book, harvested verbatim)"
acting_Subtle,texture,"film,tv",14. Which words best describe the acting? Select all that apply,select-all checkbox; this attribute = the 'Subtle' option (0/1),raw survey Movie Q829 (acting descriptors select-all),"On a scale 0-100, how strongly does 'Subtle' describe the acting of this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
12_how_emotionally_invested_were_you_in_this_protagonist,structure,"film,tv",12. How emotionally invested were you in this protagonist?,rating scale,raw survey header (exact-column slug match),"Consider this {m}. How emotionally invested were you in this protagonist? Respond 1 (not at all) to 7 (extremely). Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
satisfying_ending,structure,book,12d. On a scale of 1 (very unsatisfying) to 7 (very satisfying)?,1 (very unsatisfying) - 7 (very satisfying),raw survey Movie Q641,"Consider this book. How satisfying is the ending? Respond 1 (not at all) to 7 (extremely). Return ONLY JSON {""v"": number}.","deployed prompt set (deployed book, harvested verbatim)"
visual_Sharp,texture,"film,tv",1. Which words best describe the visual style? Select all that apply.,select-all checkbox; this attribute = the 'Sharp' option (0/1),raw survey Movie Q2 sec.5 (visual style select-all),"On a scale 0-100, how strongly does 'Sharp' describe the visual style of this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
themes_interesting,structure,book,2. How interesting do you personally find the movie's themes?,1-7 rating,raw survey Movie Q684,"Based only on this book's plot, answer: How interesting are the book’s themes/core ideas? Give a number 1-7 (1=lowest, 7=highest). Return ONLY JSON {""v"": number}.","deployed prompt set (deployed book, harvested verbatim)"
visual_Dreamy,texture,"film,tv",1. Which words best describe the visual style? Select all that apply.,select-all checkbox; this attribute = the 'Dreamy' option (0/1),raw survey Movie Q2 sec.5 (visual style select-all),"On a scale 0-100, how strongly does 'Dreamy' describe the visual style of this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
acting_Method,texture,"film,tv",14. Which words best describe the acting? Select all that apply,select-all checkbox; this attribute = the 'Method' option (0/1),raw survey Movie Q829 (acting descriptors select-all),"On a scale 0-100, how strongly does 'Method' describe the acting of this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
4_how_important_would_you_say_the_side_characters_are_in_this_movie,structure,"film,tv",4. How important would you say the side characters are in this movie?,rating scale,raw survey header (exact-column slug match),"Based only on this {m}'s plot, answer: How important would you say the side characters are in this movie? Give a number 1-5 (1=lowest, 5=highest). Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
11_how_real_did_this_protagonist_feel_to_you,structure,"film,tv",11. How real did this protagonist feel to you?,rating scale,raw survey header (exact-column slug match),"Rate this {m} on ONE survey question from its Wikipedia plot and reception. Question: How real did this protagonist feel to you? [1=low to 7=high]. Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
score_Choral,texture,"film,tv",11. Which words best describe the musical style of the movie's score? Select all that apply.,select-all checkbox; this attribute = the 'Choral' option (0/1),raw survey Movie Q820 (score style select-all),"On a scale 0-100, how strongly does 'Choral' describe the musical score of this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
acting_Theatrical,texture,"film,tv",14. Which words best describe the acting? Select all that apply,select-all checkbox; this attribute = the 'Theatrical' option (0/1),raw survey Movie Q829 (acting descriptors select-all),"On a scale 0-100, how strongly does 'Theatrical' describe the acting of this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
2_how_consistent_did_you_find_the_visual_style_by_consistent_we_mean_t,structure,"film,tv",2. How consistent did you find the visual style? By consistent we mean that it was generally the same throughout the whole film.,rating scale,raw survey header (exact-column slug match),"Based only on this {m}'s plot, answer: How consistent did you find the visual style? By consistent we mean that it was general Give a number 1-7 (1=lowest, 7=highest). Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
arc_likable_Beginning,character-arc,"film,book,tv","8a. How likable was this protagonist? By likable, we mean easy to relate to, empathize with, and root for.",1-7 rating asked over a beginning/middle/end matrix; this attribute = the 'Beginning' point,raw survey Movie Q710 (protagonist arc matrix),"Consider the single MAIN protagonist of this {m}. At the Beginning of the story, how likable (easy to relate to, empathize with, root for)? Answer 1-5 where 1=very dislikable, 5=very likable. Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
arc_likable_Middle,character-arc,"film,book,tv","8a. How likable was this protagonist? By likable, we mean easy to relate to, empathize with, and root for.",1-7 rating asked over a beginning/middle/end matrix; this attribute = the 'Middle' point,raw survey Movie Q710 (protagonist arc matrix),"Consider the single MAIN protagonist of this {m}. At the Middle of the story, how likable (easy to relate to, empathize with, root for)? Answer 1-5 where 1=very dislikable, 5=very likable. Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
arc_likable_End,character-arc,"film,book,tv","8a. How likable was this protagonist? By likable, we mean easy to relate to, empathize with, and root for.",1-7 rating asked over a beginning/middle/end matrix; this attribute = the 'End' point,raw survey Movie Q710 (protagonist arc matrix),"Consider the single MAIN protagonist of this {m}. At the End of the story, how likable (easy to relate to, empathize with, root for)? Answer 1-5 where 1=very dislikable, 5=very likable. Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
arc_competent_Beginning,character-arc,"film,book,tv","8b. How competent was this protagonist? By competent, we mean effective at the activities and tasks that matter to them.",1-7 rating asked over a beginning/middle/end matrix; this attribute = the 'Beginning' point,raw survey Movie Q241 (protagonist arc matrix),"Consider the single MAIN protagonist of this {m}. At the Beginning of the story, how competent (effective at what they attempt)? Answer 1-5 where 1=very incompetent, 5=very competent. Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
arc_competent_Middle,character-arc,"film,book,tv","8b. How competent was this protagonist? By competent, we mean effective at the activities and tasks that matter to them.",1-7 rating asked over a beginning/middle/end matrix; this attribute = the 'Middle' point,raw survey Movie Q241 (protagonist arc matrix),"Consider the single MAIN protagonist of this {m}. At the Middle of the story, how competent (effective at what they attempt)? Answer 1-5 where 1=very incompetent, 5=very competent. Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
arc_competent_End,character-arc,"film,book,tv","8b. How competent was this protagonist? By competent, we mean effective at the activities and tasks that matter to them.",1-7 rating asked over a beginning/middle/end matrix; this attribute = the 'End' point,raw survey Movie Q241 (protagonist arc matrix),"Consider the single MAIN protagonist of this {m}. At the End of the story, how competent (effective at what they attempt)? Answer 1-5 where 1=very incompetent, 5=very competent. Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
arc_proactive_Beginning,character-arc,"film,book,tv","8c. How proactive was this protagonist? By proactive, we mean motivated and taking steps to reach their goals.",1-7 rating asked over a beginning/middle/end matrix; this attribute = the 'Beginning' point,raw survey Movie Q242 (protagonist arc matrix),"Consider the single MAIN protagonist of this {m}. At the Beginning of the story, how proactive (motivated, taking action vs passive)? Answer 1-5 where 1=very passive, 5=very proactive. Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
arc_proactive_Middle,character-arc,"film,book,tv","8c. How proactive was this protagonist? By proactive, we mean motivated and taking steps to reach their goals.",1-7 rating asked over a beginning/middle/end matrix; this attribute = the 'Middle' point,raw survey Movie Q242 (protagonist arc matrix),"Consider the single MAIN protagonist of this {m}. At the Middle of the story, how proactive (motivated, taking action vs passive)? Answer 1-5 where 1=very passive, 5=very proactive. Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
arc_proactive_End,character-arc,"film,book,tv","8c. How proactive was this protagonist? By proactive, we mean motivated and taking steps to reach their goals.",1-7 rating asked over a beginning/middle/end matrix; this attribute = the 'End' point,raw survey Movie Q242 (protagonist arc matrix),"Consider the single MAIN protagonist of this {m}. At the End of the story, how proactive (motivated, taking action vs passive)? Answer 1-5 where 1=very passive, 5=very proactive. Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
plot_driven,structure,"film,book,tv","4. To what extent would you describe the movie as plot-driven and character-driven? While all movies include both elements, plot-driven movies emphasize external events, and are much more likely to be described as “page-turners.” Character-driven movies center the characters themselves; their internal needs create tension and move the story forward. Put another way, movies driven by plot focus on what and movies driven by character focus on who.",Not at all(1) - Extremely(5); plot-driven pole,raw survey Movie Q7,How plot-driven is this movie (emphasis on external events)? 1=not at all..5=extremely.,"deployed prompt set (deployed film, harvested verbatim)"
character_driven,structure,"film,book,tv","4. To what extent would you describe the movie as plot-driven and character-driven? While all movies include both elements, plot-driven movies emphasize external events, and are much more likely to be described as “page-turners.” Character-driven movies center the characters themselves; their internal needs create tension and move the story forward. Put another way, movies driven by plot focus on what and movies driven by character focus on who.",Not at all(1) - Extremely(5); character-driven pole,raw survey Movie Q7,How character-driven is this movie (internal needs drive the story)? 1=not at all..5=extremely.,"deployed prompt set (deployed film, harvested verbatim)"
setting_when,setting,"film,book,tv",1. When does the movie take place? Select all that apply.,select-all checkbox; 5 time options (present day / near past / distant past / near future / distant future),raw survey Movie Q479,"You are estimating audience-survey ratings for a {m} from its plot. Out of 100 typical viewers, how many would say this {m} takes place {PHRASE}? Answer 0-100. Return ONLY JSON {""v"": number}.  [deployed once per option; {PHRASE} in: around present day; in the near past; in the distant past; in the near future; in the distant future]","select-all template (verbatim)"
setting_where,setting,"film,book,tv",2. Where does the movie take place? Select all that apply.,select-all checkbox; 3 place options (Earth-real / Earth-imaginary / off-Earth-imaginary),raw survey Movie Q480,"You are estimating audience-survey ratings for a {m} from its plot. Out of 100 typical viewers, how many would say this {m} takes place {PHRASE}? Answer 0-100. Return ONLY JSON {""v"": number}.  [deployed once per option; {PHRASE} in: somewhere on Earth that really exists; somewhere on Earth that is imaginary; somewhere off Earth that is imaginary]","select-all template (verbatim)"
character_development,structure,"film,book,tv","10. Overall, would you say this protagonist experienced strong personal development over the course of the movie? In other words, did they undergo significant internal upheaval",Yes / Arguably / No,raw survey Movie Q244,"Consider this movie. How much strong personal development/internal change does the main character undergo? Respond 1 (not at all) to 7 (extremely). Return ONLY JSON {""v"": number}.","deployed prompt set (deployed film, harvested verbatim)"
opening_hook,structure,"film,book,tv","9. Did the movie begin with a “hook” - something dramatic, mysterious, or shocking that immediately made the stakes of the story clear?",Yes / No,raw survey Movie Q632,"Consider this movie. Did it begin with a hook (something dramatic, mysterious, or shocking)? Respond 1 (not at all) to 5 (extremely). Return ONLY JSON {""v"": number}.","deployed prompt set (deployed film, harvested verbatim)"
time_linearity,structure,"film,tv","2. How would you characterize its linearity in terms of time? Some movies move in a straight sequence with events narrated in a linear temporal order, while others move non-linearly. Non-linearity can look like moving in different directions in time (as in Memento) jumping back and forth between time frames (e.g. Julie and Julia). In such cases, instead of proceeding to the next chronological step in the story, the story moves sideways, backwards, or back-and-forth.",single-choice 1-4 (linear - nonlinear),raw survey Movie Q622,"You are estimating audience-survey ratings for a movie from its plot. Predict the story's LINEARITY IN TIME: 1 = completely linear (events told in the order they happen), 4 = completely nonlinear (heavy flashbacks/jumps in time). Return ONLY JSON {""v"": number}.","deployed prompt set (deployed film, harvested verbatim)"
plot_linearity,structure,"film,book,tv","3. How would you characterize its linearity in terms of plot? Some movies move in a straight sequence with events narrated in a linear plot order, while others move non-linearly. Linear plots can include changes in perspective, if each perspective is focused on the one single arc of action (e.g., Gone Girl); but non-linearity will feature some combination of multiple plots happening independently of one another, such as those occurring in one major setting versus another (Tale of Two Cities) or in parallel plot tracks (e.g. Game of Thrones). In non-linear stories, instead of proceeding linearly along a single “action”, the story will have at least two plot sequences that don’t directly relate (or don’t directly relate until some final act).",single-choice 1-4 (linear - nonlinear),raw survey Movie Q623,"Rate how a movie's plot is ORDERED in time, from its plot summary. 1 = told in strict chronological order start to finish; 2 = mostly chronological, minor flashbacks/digressions; 3 = substantially reordered (significant flashbacks, non-sequential); 4 = heavily fragmented / achronological (major non-linear structure, interleaved timelines, or reverse chronology). Judge the STRUCTURE of the storytelling, not how eventful the plot is. Return ONLY JSON {""v"": number} with v in 1..4.  ||ENSEMBLE-AVG||  You are estimating audience-survey ratings for a movie from its plot. Predict the story's LINEARITY IN PLOT ORDER: 1 = completely linear (the plot is presented in a straight sequence), 4 = completely nonlinear (the plot is heavily reordered / told out of sequence). Return ONLY JSON {""v"": number}.",deployed prompt set (deployed film; averaged over 2 prompts)
ending_reversal,structure,"film,book,tv",13. Did the ending feature a major reversal-of-fortune for the main character(s)?,Yes / Somewhat / No,raw survey Movie Q729,"At the climax/ending of this movie, does the main character's fortune undergo a MAJOR turn — the stakes resolve in a way that decisively reverses their situation (winner becomes loser or vice versa, or a hidden truth flips everything)? Ignore small twists that don't change their overall fate. 3 = major reversal, 2 = moderate, 1 = little/none. Return ONLY JSON {""v"": number}.  ||ENSEMBLE-AVG||  You are estimating audience-survey ratings for a movie from its plot. Predict whether the ending featured a major reversal of fortune for the main character(s): 3 = Yes, 2 = Somewhat, 1 = No. Return ONLY JSON {""v"": number}.",deployed prompt set (deployed film; averaged over 2 prompts)
catharsis,structure,"film,tv","15. Did the ending feature a major emotional release, or other major expression of emotion, on the part of the main character(s)?",Yes / Somewhat / No,raw survey Movie Q731,"Does the ending feature a major emotional release or catharsis (a strong outpouring or expression of emotion)? 3=yes major, 2=somewhat, 1=no. Return ONLY JSON {""v"": number}.","deployed prompt set (deployed film, harvested verbatim)"
conflict_self,conflict,"film,book,tv","6. What primary type of conflict, if any, did this protagonist face in the movie? At a high level, conflict can take the form of the protagonist versus other character(s); an external force like fate, technology, society, or nature (including climate and natural disasters); or their own self (including their psyche and fears). For example, in the first Hunger Games, Katniss Everdeen’s primary and most urgent conflict is with other characters: tributes who are trying to kill her.",single-choice conflict type; this attribute = protagonist-vs-self (0-100 intensity),raw survey Movie Q237 (primary conflict type),"To what extent is this movie a ""protagonist versus self"" story - how central is self as the force the protagonist struggles against? 0 = not at all, 100 = the central conflict. Return ONLY JSON {""v"": number}.","deployed prompt set (deployed film, harvested verbatim)"
conflict_other,conflict,"film,book,tv","6. What primary type of conflict, if any, did this protagonist face in the movie? At a high level, conflict can take the form of the protagonist versus other character(s); an external force like fate, technology, society, or nature (including climate and natural disasters); or their own self (including their psyche and fears). For example, in the first Hunger Games, Katniss Everdeen’s primary and most urgent conflict is with other characters: tributes who are trying to kill her.",single-choice conflict type; this attribute = protagonist-vs-other (0-100 intensity),raw survey Movie Q237 (primary conflict type),"To what extent is this movie a ""protagonist versus other"" story - how central is other as the force the protagonist struggles against? 0 = not at all, 100 = the central conflict. Return ONLY JSON {""v"": number}.","deployed prompt set (deployed film, harvested verbatim)"
conflict_society,conflict,"film,book,tv","6. What primary type of conflict, if any, did this protagonist face in the movie? At a high level, conflict can take the form of the protagonist versus other character(s); an external force like fate, technology, society, or nature (including climate and natural disasters); or their own self (including their psyche and fears). For example, in the first Hunger Games, Katniss Everdeen’s primary and most urgent conflict is with other characters: tributes who are trying to kill her.",single-choice conflict type; this attribute = protagonist-vs-society (0-100 intensity),raw survey Movie Q237 (primary conflict type),"To what extent is this movie a ""protagonist versus society"" story - how central is society as the force the protagonist struggles against? 0 = not at all, 100 = the central conflict. Return ONLY JSON {""v"": number}.","deployed prompt set (deployed film, harvested verbatim)"
